,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
313TT,Textile mills and textile product mills,11,6,---,1,---,---,1866,489,239,---,1,697,0,0,2132,668,2724,1445,56,8476,1746,3243,268,19,2,2389,1842,39,73,3002,1316,---,---,21,20,---,0,17,2,1,218,5,5,---,---,---,---,0,50,260,---,---,412,15,145,161,24,79,340,1618,1316,0,120,1206,403,546,451,388,4,1926,25,42529,33263,---,96,---,253,-1090,7673,-35552,---,---,---,---,---,---,4,---,---,---,1,---,4648,47177
315AL,Apparel and leather and allied products,20,---,---,---,---,0,---,---,0,---,---,---,---,---,1355,---,---,108,11,0,978,---,0,0,---,0,252,21,0,164,163,---,---,---,---,---,---,---,---,0,0,2,0,---,---,---,---,---,---,0,---,---,11,0,67,65,1,0,4,---,0,12,22,5,0,1052,70,20,114,1171,31,5720,165677,---,---,---,---,-2334,4053,-146055,---,---,---,---,---,---,---,---,---,---,---,---,21341,27061
322,Paper products,388,0,143,131,29,22,3997,1236,2014,1953,2038,1717,496,1239,6138,642,1342,1953,26713,406,29,44264,7996,256,5410,4777,8087,248,1298,478,1963,37,46,2,268,1731,23,1161,221,1145,71,393,383,845,605,1957,3,1,780,1380,359,659,3307,599,5947,406,380,1276,1679,772,1441,100,276,3245,6127,1273,286,2846,202,14868,72,184573,24185,---,---,---,---,-747,21114,-28123,---,---,---,---,---,---,---,---,---,---,---,---,16430,201003
323,Printing and related support activities,10,---,10,1,---,8,43,2,---,---,9,3,---,1,4,---,---,---,58,---,0,---,1238,1,81,---,9333,241,142,153,7379,5,7,---,237,138,2,232,12,2963,524,403,5666,857,1327,4383,---,---,105,594,525,368,5118,894,2898,15,909,1604,3549,118,1830,692,320,708,1269,1292,892,1787,54,9426,444,70882,3801,---,---,---,---,-420,2508,-3050,---,---,---,---,---,---,---,---,---,---,---,---,2839,73721
324,Petroleum and coal products,6507,265,7969,2409,1095,17411,51929,796,617,2407,1326,902,155,742,407,175,242,995,3033,52,8,1306,578,18121,8640,773,4537,1114,393,248,1872,40210,3928,5293,19547,3717,199,12917,2926,262,72,575,620,3744,3581,106,848,35,4833,2289,41,1257,2316,704,6616,2148,1884,999,1340,784,1245,236,1120,865,4776,2680,14509,1396,1878,108058,27248,424828,265764,---,---,---,---,7401,148497,-80716,---,---,---,---,---,---,---,---,---,---,---,---,340946,765774
325,Chemical products,26683,1226,10714,1806,1038,1339,20687,6453,4372,2021,7308,2498,2082,2612,14531,1838,1860,6657,9119,10064,172,7884,4166,39937,233255,80193,3150,163,70,39,1593,1,143,3,333,36,1,36,308,461,284,634,1585,47,93,113,---,578,12267,215,77,297,55483,2543,12144,2088,828,58578,23511,5091,906,528,1299,90,1847,4931,3882,4386,107,49622,4959,755866,337722,---,2850,---,---,6262,194606,-350741,---,---,---,---,---,---,---,---,---,---,---,---,190699,946566
326,Plastics and rubber products,1887,63,137,962,365,19,38218,1238,1174,803,2343,9023,2394,2163,24660,3201,2749,3989,21623,386,131,2650,3151,421,9785,22156,25795,1475,1791,575,5586,280,4,0,1112,215,46,1719,300,251,107,5913,1190,52,148,2328,0,15,588,3364,25,1856,8950,120,3233,553,1045,10230,6082,1914,2522,62,422,200,9647,3386,3154,1596,42,15525,4756,283867,51814,---,361,---,22,499,28463,-73802,---,---,---,---,---,---,14,---,---,---,---,---,7371,291238
42,Wholesale trade,50873,2038,15753,4182,2221,7443,135405,14885,8020,32205,24220,34659,14823,13397,92917,21152,6405,9684,106130,3198,1217,14615,4197,28897,68962,24891,75754,6358,3298,3088,25359,5209,2583,2007,10346,2064,436,5343,2555,13899,326,21212,6761,2196,2214,1943,803,636,6454,20777,888,5702,35803,8793,17251,4468,3683,38366,23413,4379,7863,846,3805,4237,33258,16296,19904,7952,1948,62998,17446,1283311,787222,16,274623,35615,5890,14,273605,81633,---,---,13044,1443,---,---,6212,1702,---,---,18493,3793,1503305,2786616
441,Motor vehicle and parts dealers,11,2,376,193,85,17,3478,416,202,140,415,2319,140,2,4105,719,118,283,1506,24,1,377,55,1,503,189,151,1877,749,167,2401,0,9,0,1825,16,0,10,62,54,41,84,17,67,11,13,---,108,318,1304,0,43,673,---,4071,89,0,---,0,0,0,7,47,52,246,4478,0,0,0,0,5,34670,391826,---,42991,---,8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,434825,469495
445,Food and beverage stores,49,0,1,0,---,67,242,0,2,0,1,7,2,1,4,0,2,5,7,0,0,1,17,3,42,1,10,11,24,10,52,0,4,1,311,61,0,39,0,1,0,0,3,5,3,2,---,77,38,4,0,1,6,---,77,0,6,3,6,1,1,8,19,44,1771,17,0,1,0,22,---,3092,322737,---,417,2,10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,323167,326259
