,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
111CA,Farms,545734,6123,---,---,---,---,---,13,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3473,---,---,---,---,---,---,---,---,---,---,555343
324,Petroleum and coal products,---,---,1,47,---,---,669,---,186,164,0,0,---,8,---,---,---,---,---,0,---,0,---,711025,32684,0,12355,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,39,555,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,757733
325,Chemical products,---,---,---,0,---,---,374,3,120,3,50,144,1384,112,1,0,---,1839,13207,2,181,125,0,10166,902310,2976,14079,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,480,81830,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1029387
326,Plastics and rubber products,---,---,---,---,---,---,304,215,103,6,547,358,224,372,1241,107,263,1556,---,1235,1,784,48,2,1910,284135,2374,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,207,2188,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,430,---,298611
42,Wholesale trade,---,95,---,---,---,---,10212,---,---,---,---,1,---,---,86,---,---,6,1516,---,---,---,---,---,---,---,2695529,---,---,---,---,---,---,---,---,---,100,750,403,---,---,---,---,---,---,---,---,---,---,17306,---,9148,988,---,30,---,---,---,---,---,---,---,---,---,---,104466,---,---,---,---,---,---,---,2840633
441,Motor vehicle and parts dealers,---,---,---,---,---,---,12,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,466104,---,---,---,---,---,---,0,---,---,0,0,---,---,---,---,4707,---,---,---,---,---,236,---,96,4,---,---,---,0,---,---,---,---,---,137,---,---,69550,---,---,---,---,---,---,---,540845
445,Food and beverage stores,---,---,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,11358,---,---,---,---,---,---,---,---,---,316607,---,---,---,---,---,---,---,---,---,---,---,---,---,---,47,---,---,---,---,---,2,---,12,1,---,2,---,---,---,---,---,---,---,1,---,16189,0,---,---,---,---,---,---,---,344219
452,General merchandise stores,---,---,---,---,---,---,1948,---,---,---,---,---,---,---,---,---,---,---,2779,---,---,---,---,---,---,---,---,---,---,291702,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,0,1,---,0,---,---,0,---,---,---,---,---,---,12052,2472,---,---,---,---,---,---,---,310953
4A0,Other retail,285,---,---,---,---,---,5107,---,---,---,---,---,---,---,---,---,---,2394,0,---,0,---,0,---,---,---,---,---,---,---,1500233,---,---,---,---,---,---,0,0,---,928,0,---,397,---,---,---,---,---,1524,---,1936,12955,---,97,---,149,12,---,---,---,---,546,---,28501,21871,---,---,---,---,---,---,---,1576936
481,Air transportation,---,900,---,---,---,---,36,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,305916,---,---,---,---,---,1614,---,---,---,---,---,---,---,---,---,---,---,639,---,171,1952,---,---,---,---,86,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,311313
482,Rail transportation,---,---,---,---,---,---,210,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,90309,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,626,---,188,448,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,91781
